OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster
1,B2094656D365A4FC469D,农家饭店(驼梁西南),,113.804479999999998,38.724769999999999,311,中餐厅,2,0,餐饮,中式餐饮,2
2,B2094656D365A0FE459E,清秀山庄,,113.804000000000002,38.723930000000003,311,中餐厅,11,4,餐饮,中式餐饮,2
3,B2094656D364AAFA4198,驼梁人家,,113.804320000000004,38.724539999999998,311,中餐厅,5,0,餐饮,中式餐饮,2
4,B2094751DB6FA0FC479B,五岳寨喜客之家,近郊灵寿县五岳寨景区内,113.846840000000000,38.708019999999998,311,河北菜,0,0,餐饮,中式餐饮,2
5,B2094457D169A7F4419B,나타나길,河北省 石家庄市 카나리아에,114.516549999999995,38.537410000000001,311,餐饮美食,1,1,餐饮,其它,2
6,B2094751DB6DA6FD4898,西柏坡纪念馆餐厅,近郊平山县,113.859719999999996,38.401969999999999,311,河北菜,0,0,餐饮,中式餐饮,2
7,B2094757D765A0FD4192,聚贤酒家,辛集市小辛庄(近东方漂染厂),115.254790999999997,38.094461000000003,311,四川菜,0,0,餐饮,中式餐饮,1
8,B2094457D16FA6FF4999,烟台,河北省 石家庄市 大悦城,114.373230000000007,37.827680000000001,311,餐饮美食,1,1,餐饮,其它,3
9,B2094450D168A0FA459F,南佐会馆,河北省 石家庄市 二园区,114.364999999999995,37.845100000000002,311,餐饮美食,0,0,餐饮,其它,3
10,B2094751DB6BA1FC449F,大众,近郊辛集市南智邱镇(近金三角饭店),115.241519999999994,37.754950000000001,311,快餐厅,0,0,餐饮,小吃快餐,1
11,B2094751D265A2FF449D,阿娇小火锅,近郊赞皇县南门路西侧,114.282929999999993,37.622439999999997,311,火锅店,0,0,餐饮,中式餐饮,3
12,B2094751DB6FA0F8429A,王建中农家乐,近郊平山县西沙岭猪圈沟原生态景区(近驼梁风景区),113.652519999999996,38.613840000000003,311,快餐厅,0,0,餐饮,小吃快餐,2
13,B209475CD369A5F9419C,七汲鼎新全羊宴,平山县三汲乡七汲道口,113.750911000000002,38.437173999999999,311,烧烤,0,0,餐饮,中式餐饮,2
14,B2094757D76BA2F54699,桥北饭店,近郊平山县小觉镇新桥路北政府路(近石驼加油站),113.727249999999998,38.401159999999997,311,河北菜,0,0,餐饮,中式餐饮,2
15,B209475CD06DA5F94493,古月烧饼,平山县古月镇(近西柏坡),113.885660000000001,38.286909999999999,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,2
16,B209475CD36FA7F94993,清凉山滑雪场自助火锅,井陉矿区清凉山滑雪场内,114.023939999999996,38.070480000000003,311,火锅店,0,0,餐饮,中式餐饮,0
17,B2094456D069A6FA4698,大理岩生态家园,河北省 石家庄市 河北省石家庄市井陉县辛庄乡大理岩村,113.927130000000005,38.092390000000002,311,餐饮美食,0,0,餐饮,其它,0
18,B2094757DA69A6F9489C,南湖酒家新合街店,新华路 与新合街交口,114.180070000000001,37.723340000000000,311,日本料理,0,0,餐饮,国际餐饮,3
19,B2094757DA69A6F9479D,一麻一辣石家庄店,石家庄市 桥东东区四中路 中国盒子1楼（休门街口）,114.180070000000001,37.723340000000000,311,休闲餐饮场所,41,4,餐饮,其它,3
20,B2094750D36BABF8479E,starbucks石家庄,建华南大街136号万达广场裕华西路15号万象天成中山西路11号乐汇城,114.180070000000001,37.723340000000000,311,餐饮美食,1,0,餐饮,其它,3
