OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster,Ndist
1,B2094656D365A4FC469D,农家饭店(驼梁西南),,113.80448,38.72477,311,中餐厅,2,0,餐饮,中式餐饮,2,29.098563322496453
2,B2094656D365A0FE459E,清秀山庄,,113.804,38.72393,311,中餐厅,11,4,餐饮,中式餐饮,2,73.28974442876735
3,B2094656D364AAFA4198,驼梁人家,,113.80432,38.72454,311,中餐厅,5,0,餐饮,中式餐饮,2,29.098563322496453
4,B2094751DB6FA0FC479B,五岳寨喜客之家,近郊灵寿县五岳寨景区内,113.84684,38.70802,311,河北菜,0,0,餐饮,中式餐饮,2,4116.370767956114
5,B2094457D169A7F4419B,나타나길,河北省 石家庄市 카나리아에,114.51655,38.53741,311,餐饮美食,1,1,餐饮,其它,2,5605.118967700399
6,B2094751DB6DA6FD4898,西柏坡纪念馆餐厅,近郊平山县,113.85972,38.40197,311,河北菜,0,0,餐饮,中式餐饮,2,8714.163246420914
7,B2094757D765A0FD4192,聚贤酒家,辛集市小辛庄(近东方漂染厂),115.254791,38.094461,311,四川菜,0,0,餐饮,中式餐饮,1,5851.392052906345
8,B2094457D16FA6FF4999,烟台,河北省 石家庄市 大悦城,114.37323,37.82768,311,餐饮美食,1,1,餐饮,其它,3,2067.4585428920805
9,B2094450D168A0FA459F,南佐会馆,河北省 石家庄市 二园区,114.365,37.8451,311,餐饮美食,0,0,餐饮,其它,3,2067.4585428920805
10,B2094751DB6BA1FC449F,大众,近郊辛集市南智邱镇(近金三角饭店),115.24152,37.75495,311,快餐厅,0,0,餐饮,小吃快餐,1,10824.416667300891
11,B2094751D265A2FF449D,阿娇小火锅,近郊赞皇县南门路西侧,114.28293,37.62244,311,火锅店,0,0,餐饮,中式餐饮,3,0.0
12,B2094751DB6FA0F8429A,王建中农家乐,近郊平山县西沙岭猪圈沟原生态景区(近驼梁风景区),113.65252,38.61384,311,快餐厅,0,0,餐饮,小吃快餐,2,17966.782958212276
