OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst
1,B2094753DA6EA2F8419A,水郡花洲,灵寿横山岭水库正南公路,114.164257000000006,38.586015000000003,311,住宅区,2,2,小区
2,B2094752D26AA2FB419D,河北省行唐县御城花园,,114.536092999999994,38.436829000000003,311,住宅区,1,0,小区
3,B2094753DA6EA3F44599,阳光河谷,平山温塘镇东侧,114.001435999999998,38.260626000000002,311,住宅区,0,0,小区
4,B2094753DA6EA3F4439D,卡纳小镇,石闫公路与温塘河口,114.005470000000003,38.259413000000002,311,住宅区,0,0,小区
5,B2094753DA6EA2FB459F,月光溪谷,蟠龙湖区域,114.341196999999994,37.825608000000003,311,住宅区,0,0,小区
6,B2094753DA6EA2FA4193,圣地亚水岸生活馆,蟠龙湖风景区,114.344587000000004,37.824972000000002,311,住宅区,0,0,小区
7,B2094753DA6EA2F94298,碧水别墅,蟠龙湖度假村,114.394305000000003,37.804935000000000,311,住宅区,0,0,小区
8,B2094753DA6EA2F84698,麓港小镇,蟠龙湖畔南岸风景区,114.341217999999998,37.825564999999997,311,住宅区,0,0,小区
9,B2094753DA6FA2FB459E,泊岸南山,潘龙湖南岸,114.395335000000003,37.802816000000000,311,住宅区,0,0,小区
10,B2094753DA6FA2FB469B,新景家园,翟营大街与学苑路交口,114.180350000000004,37.723486999999999,311,住宅区,0,0,小区
11,B2094753DA6FA2FB429F,天山龙湖湾,蟠龙湖旅游风景区南岸,114.179276999999999,37.724429000000001,311,住宅区,0,0,小区
12,B2094750D564A7F8409B,清凉盛景,平山驼梁景区售票处西北150米,113.802222999999998,38.720607999999999,311,住宅区,0,0,小区
13,B2094750D56AAAFA459B,驼梁中台山,平山县驼梁风景区中台山村东,113.810119999999998,38.720340000000000,311,住宅区,0,0,小区
14,B2094750D56BA6F5439E,孔雀湖原乡国际假日基地,行唐县口头水库西侧,114.369906999999998,38.617541000000003,311,住宅区,4,2,小区
15,B209475DD768A5FF479E,太行水乡度假小区,平山平山县拦道石红色生态风景区境内,113.754501000000005,38.584673000000002,311,住宅区,1,1,小区
16,B2094750D56AAAFF409F,洪洲花园,平山县古月镇西洪子店,113.862305000000006,38.307181000000000,311,住宅区,0,0,小区
17,B2094750D56BA4FB4393,西柏坡国御温泉度假小镇,平山温塘镇东部,114.004784000000001,38.263523999999997,311,住宅区,1,0,小区
18,B2094750D56AABFA499E,天山龙湖世界,蟠龙湖旅游风景区南岸西侧,114.343506000000005,37.824430000000000,311,住宅区,1,1,小区
19,B2094750D564A7F84693,麟凯江山墅,元氏县境内蟠龙湖风景区,114.380549999999999,37.816293000000002,311,住宅区,0,0,小区
20,B2094750D56AA3FD499E,龙城山湖颂,元氏装院路168号,114.399736000000004,37.819844000000003,311,住宅区,0,0,小区
21,B2094750D564A4FF479F,峰豪度假村,井陉县苍岩山景区,114.152411999999998,37.830938000000003,311,住宅区,3,0,小区
22,B2094656D364A6FF4099,蕃茄花园,,114.385450000000006,37.661700000000003,311,住宅区,0,0,小区
23,B2094750D564A7FD409E,上山间,石家庄市西部山前生态区，山前大道608号,114.309310999999994,37.973973999999998,311,住宅区,16,15,小区
