年份,省份,二氧化碳排放总量（万吨）,人均二氧化碳排放量（吨/人）,二氧化碳排放强度（吨/万元）,地区生产总值(亿元),地区生产总值－第一产业(亿元),地区生产总值－第二产业(亿元),地区生产总值－第三产业(亿元),第一产业占GDP比重(%),第二产业占GDP比重(%),第三产业占GDP比重(%),人均地区生产总值(元),地区生产总值指数（上年＝100）(没有单位),地区生产总值指数－第一产业（上年＝100）(没有单位),地区生产总值指数－第二产业（上年＝100）(没有单位),地区生产总值指数－第三产业（上年＝100）(没有单位),社会消费品零售总额(亿元),全社会固定资产投资(亿元),年底人口数(万人),人口出生率(‰),人口死亡率(‰),人口自然增长率(‰)
1995,河北省,26967.548,4.1895,9.464,2849.52,631.34,1322.77,895.41,22.156,46.4208,31.4232,4444,113.9,108.6,115.4,114.6,852.1,907.75,6437,13.93,6.32,7.61
1996,河北省,27427.675,4.2301,7.943,3452.97,700.94,1664.61,1087.42,20.2996,48.2081,31.4923,5345,113.5,105.5,116.6,113,1022.1,1182.59,6484,13.85,6.55,7.3
1997,河北省,28028.96,4.2956,7.089,3953.78,761.76,1934.38,1257.64,19.3,48.9,31.8,6079,112.5,105.4,114.9,112.5,1195,1425.98,6525,13.11,6.82,6.29
1998,河北省,28049.392,4.27,6.591,4256.01,790.6,2084.33,1381.08,18.6,49,32.5,6501,110.7,106.2,112.2,110.6,1332.6,1591.76,6569,13.01,6.18,6.83
1999,河北省,28863.091,4.3639,6.317,4569.19,805.97,2243.59,1519.63,17.6392,49.1026,33.2582,6931.9637,109.1,104.325,110.5837,109,1458.8,1770.47,6614,12.99,6.26,6.73
2000,河北省,30122.904,4.5135,5.919,5088.96,824.55,2559.96,1704.45,16.2027,50.3042,33.4931,7662.7577,109.4704,105.0508,110.1061,110.4,1613.9,1816.79,6674,11.3,6.2,5.1
2001,河北省,31246.598,4.6644,5.664,5516.76,913.9,2767.41,1896.47,16.4,49.6,34,8362,108.6988,105.3,108.3,111,1778.3,1912.5323,6699,11.16,6.18,4.98
2002,河北省,34755.707,5.1605,5.775,6018.28,957.01,3046,2119.52,15.6,49.8,34.6,9115,109.6494,105.4,110.6,110.2,1968.3,2020.38,6735,11.53,6.25,5.28
2003,河北省,39588.591,5.8481,5.72,6921.29,1064.33,3657.19,2377.04,14.9936,51.5202,33.4862,10513.239,111.6,106.1,114.3,110,2177.9,2477.98,6769.44,11.43,6.27,5.16
2004,河北省,46162.567,6.7796,5.445,8477.63,1370.4,4635.23,2763.16,15.6282,52.8605,31.5113,12918,112.9,106.7401,114.1879,112.4539,2522.8853,3218.8,6809,11.98,6.19,5.79
2005,河北省,57412.516,8.3802,5.734,10012.11,1503.07,5232.5,3360.54,14.9,51.8,33.3,14782.2597,113.4,106.2,115.4374,113.2166,2952.9,4139.6947,6851,12.84,6.75,6.09
2006,河北省,61942.581,8.9798,5.402,11467.6,1606.48,6115.01,3938.94,13.8,52.4,33.8,16962,113.4,105,115.1,114.3,3397.423,5470.2356,6898,12.82,6.59,6.23
2007,河北省,67607.595,9.7375,4.969,13607.32,1804.72,7241.8,4662.98,13.2,52.8,34,19877,112.8,104,114.1,114.1,3986.2,6884.6817,6943,13.33,6.78,6.55
2008,河北省,70642.242,10.1079,4.412,16011.97,2034.6,8777.42,5376.59,12.6,54.2,33.2,23239,110.1,104.9,110.5,111.1,4991.1,8866.5605,6988.82,13.04,6.49,6.55
2009,河北省,75350.813,10.7118,4.372,17235.48,2207.34,8959.83,6068.31,12.8,52,35.2,24581,110,103.3,110.5,111.4,5764.9,12269.7999,7034.4,12.93,6.43,6.5
2010,河北省,81068.028,11.2695,3.975,20394.26,2562.81,10707.68,7123.77,12.6,52.5,34.9,28668,112.2,103.5,113.4,113.1,6821.7916,15083.3532,7193.6,13.22,6.41,6.81
2011,河北省,91675.929,12.6615,3.74,24515.76,2905.73,13126.86,8483.17,11.9,53.5,34.6,33969,111.3,104.2,113.4,110.5,8035.5009,16389.3255,7240.51,13.02,6.52,6.5
2012,河北省,92966.828,12.757,3.498,26575.01,3186.66,14003.57,9384.78,11.99,52.69,35.31,36584,109.6,104,111.5,108.6,9254.0346,19661.2832,7287.51,12.88,6.41,6.47
2013,河北省,93243.415,12.7163,3.278,28442.95,3500.42,14762.1,10038.89,12.4,52.2,35.5,38909,108.2,103.5,109,108.4,10516.7472,23194.2296,7332.61,13.04,6.87,6.17
2014,河北省,88685.007,12.0108,3.014,29421.15,3447.46,15012.85,10960.84,11.7176,51.0274,37.255,39984,106.5,103.7,105,109.7,11820.4578,26671.9214,7383.75,13.18,6.23,6.95
2015,河北省,92733.758,12.4895,3.111,29806.11,3439.45,14386.87,11979.79,11.5394,48.2682,40.1924,40255,106.8,102.6,104.7,111.2,12990.7,29448.2706,7424.92,11.35,5.79,5.56
2016,河北省,92865.965,12.4319,2.896,32070.45,3492.81,15256.93,13320.71,10.8911,47.5732,41.5358,43062,106.8,103.5,104.9,109.9,14364.7,31750.0152,7470,12.42,6.36,6.06
2017,河北省,92193.492,12.2606,2.71,34016.32,3129.98,15846.21,15040.13,9.2014,46.5841,44.2145,45387,106.6,103.9,103,111.3,15907.6,33406.8021,7519.52,13.2,6.6,6.6
2018,河北省,94559.178,12.5144,2.626,36010.27,3338,16040.06,16632.21,9.27,44.54,46.19,47772.2207,106.6,103,104.3,109.8,16537.1,35411.21023,7556,11.26,6.38,4.88
