FID,Join_Count,TARGET_FID,Id,GHT_V_CN,FstP,SecP
0,1,0,0,居住用地,商业服务业设施用地,公共管理与公共服务设施用地
1,1,1,0,居住用地,居住用地,公共管理与公共服务设施用地
2,1,2,0,居住用地,居住用地,工业用地
3,1,3,0,居住用地,公共管理与公共服务设施用地,居住用地
4,1,4,0,居住用地,商业服务业设施用地,公共管理与公共服务设施用地
5,1,5,0,居住用地,公共管理与公共服务设施用地,商业服务业设施用地
6,1,6,0,居住用地,商业服务业设施用地,公共管理与公共服务设施用地
7,1,7,0,居住用地,工业用地,商业服务业设施用地
8,1,8,0,居住用地,商业服务业设施用地,公共管理与公共服务设施用地
9,1,9,0,居住用地,公共管理与公共服务设施用地,商业服务业设施用地
10,1,10,0,居住用地,商业服务业设施用地,公共管理与公共服务设施用地
11,1,11,0,居住用地,商业服务业设施用地,公共管理与公共服务设施用地
12,1,12,0,居住用地,商业服务业设施用地,公共管理与公共服务设施用地
13,1,13,0,居住用地,居住用地,公共管理与公共服务设施用地
14,1,14,0,居住用地,公共管理与公共服务设施用地,居住用地
15,1,16,0,居住用地,公共管理与公共服务设施用地,工业用地
16,1,17,0,居住用地,工业用地,公共管理与公共服务设施用地
17,1,18,0,居住用地,居住用地,工业用地
18,1,19,0,居住用地,公共管理与公共服务设施用地,商业服务业设施用地
19,1,20,0,居住用地,公共管理与公共服务设施用地,居住用地
20,1,21,0,居住用地,居住用地,公共管理与公共服务设施用地
21,1,22,0,居住用地,居住用地,工业用地
22,1,23,0,居住用地,居住用地,公共管理与公共服务设施用地
23,1,24,0,居住用地,公共管理与公共服务设施用地,商业服务业设施用地
24,1,25,0,居住用地,商业服务业设施用地,公共管理与公共服务设施用地
25,1,26,0,居住用地,商业服务业设施用地,公共管理与公共服务设施用地
26,1,27,0,居住用地,公共管理与公共服务设施用地,商业服务业设施用地
27,1,29,0,居住用地,居住用地,商业服务业设施用地
28,1,30,0,商业服务业设施用地,公共管理与公共服务设施用地,商业服务业设施用地
29,1,31,0,商业服务业设施用地,商业服务业设施用地,公共管理与公共服务设施用地
30,1,32,0,商业服务业设施用地,公共管理与公共服务设施用地,工业用地
31,1,33,0,商业服务业设施用地,商业服务业设施用地,绿地与广场用地
32,1,34,0,商业服务业设施用地,商业服务业设施用地,居住用地
33,1,35,0,商业服务业设施用地,商业服务业设施用地,公共管理与公共服务设施用地
34,1,36,0,商业服务业设施用地,商业服务业设施用地,工业用地
35,1,37,0,商业服务业设施用地,商业服务业设施用地,公共管理与公共服务设施用地
36,1,38,0,商业服务业设施用地,商业服务业设施用地,公共管理与公共服务设施用地
37,1,39,0,商业服务业设施用地,商业服务业设施用地,公共管理与公共服务设施用地
38,1,40,0,商业服务业设施用地,商业服务业设施用地,公共管理与公共服务设施用地
39,1,41,0,商业服务业设施用地,工业用地,居住用地
40,1,42,0,商业服务业设施用地,商业服务业设施用地,工业用地
41,1,43,0,商业服务业设施用地,商业服务业设施用地,工业用地
42,1,44,0,商业服务业设施用地,工业用地, 
43,1,45,0,商业服务业设施用地,公共管理与公共服务设施用地,商业服务业设施用地
44,1,46,0,商业服务业设施用地,商业服务业设施用地,公共管理与公共服务设施用地
45,1,47,0,商业服务业设施用地,工业用地,商业服务业设施用地
46,1,48,0,商业服务业设施用地,商业服务业设施用地, 
47,1,49,0,商业服务业设施用地,居住用地,公共管理与公共服务设施用地
48,1,50,0,商业服务业设施用地,公共管理与公共服务设施用地, 
49,1,51,0,商业服务业设施用地,居住用地,公共管理与公共服务设施用地
50,1,54,0,商业服务业设施用地,公共管理与公共服务设施用地,居住用地
51,1,55,0,商业服务业设施用地,公共管理与公共服务设施用地,商业服务业设施用地
52,1,56,0,商业服务业设施用地,公共管理与公共服务设施用地,商业服务业设施用地
53,1,57,0,商业服务业设施用地,居住用地,公共管理与公共服务设施用地
54,1,59,0,商业服务业设施用地,道路与交通设施用地, 
55,1,60,0,绿地与广场用地,商业服务业设施用地, 
56,1,61,0,绿地与广场用地,商业服务业设施用地, 
57,1,62,0,绿地与广场用地,道路与交通设施用地,商业服务业设施用地
58,1,63,0,绿地与广场用地,公共管理与公共服务设施用地,商业服务业设施用地
59,1,64,0,绿地与广场用地,居住用地,公共管理与公共服务设施用地
60,1,65,0,绿地与广场用地,居住用地,公共管理与公共服务设施用地
61,1,69,0,绿地与广场用地,公共管理与公共服务设施用地,居住用地
62,1,70,0,绿地与广场用地,绿地与广场用地,道路与交通设施用地
63,1,71,0,绿地与广场用地,居住用地,公共管理与公共服务设施用地
64,1,72,0,绿地与广场用地,居住用地,工业用地
65,1,74,0,绿地与广场用地,商业服务业设施用地,绿地与广场用地
66,1,75,0,绿地与广场用地,绿地与广场用地,居住用地
67,1,76,0,绿地与广场用地,绿地与广场用地, 
68,1,77,0,绿地与广场用地,公共管理与公共服务设施用地,道路与交通设施用地
69,1,78,0,绿地与广场用地,绿地与广场用地, 
70,1,81,0,绿地与广场用地,居住用地,公共管理与公共服务设施用地
71,1,82,0,绿地与广场用地,公共管理与公共服务设施用地,商业服务业设施用地
72,1,83,0,绿地与广场用地,公共管理与公共服务设施用地,商业服务业设施用地
73,1,87,0,绿地与广场用地,道路与交通设施用地, 
74,1,88,0,绿地与广场用地,居住用地,道路与交通设施用地
75,1,89,0,绿地与广场用地,商业服务业设施用地,公共管理与公共服务设施用地
76,1,90,0,工业用地,工业用地,绿地与广场用地
77,1,91,0,工业用地,居住用地,工业用地
78,1,92,0,工业用地,公共管理与公共服务设施用地,工业用地
79,1,93,0,工业用地,居住用地,公共管理与公共服务设施用地
80,1,94,0,工业用地,居住用地,公共管理与公共服务设施用地
81,1,95,0,工业用地,居住用地,公共管理与公共服务设施用地
82,1,96,0,工业用地,居住用地,公共管理与公共服务设施用地
83,1,97,0,工业用地,居住用地,公共管理与公共服务设施用地
84,1,98,0,工业用地,公共管理与公共服务设施用地,商业服务业设施用地
85,1,105,0,工业用地,工业用地,公共管理与公共服务设施用地
86,1,106,0,工业用地,商业服务业设施用地,工业用地
87,1,107,0,工业用地,商业服务业设施用地,公共管理与公共服务设施用地
88,1,108,0,工业用地,居住用地,商业服务业设施用地
89,1,110,0,工业用地,公共管理与公共服务设施用地, 
90,1,111,0,工业用地,公共管理与公共服务设施用地,居住用地
91,1,112,0,工业用地,道路与交通设施用地, 
92,1,113,0,工业用地,居住用地,商业服务业设施用地
93,1,114,0,工业用地,公共管理与公共服务设施用地,商业服务业设施用地
94,1,116,0,工业用地,居住用地, 
95,1,117,0,工业用地,居住用地,公共管理与公共服务设施用地
96,1,118,0,工业用地,工业用地,公共管理与公共服务设施用地
97,1,119,0,工业用地,工业用地,绿地与广场用地
98,1,120,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,商业服务业设施用地
99,1,121,0,公共管理与公共服务设施用地,商业服务业设施用地,公共管理与公共服务设施用地
100,1,122,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,商业服务业设施用地
101,1,123,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,居住用地
102,1,125,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,工业用地
103,1,126,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,商业服务业设施用地
104,1,127,0,公共管理与公共服务设施用地,商业服务业设施用地, 
105,1,128,0,公共管理与公共服务设施用地,商业服务业设施用地, 
106,1,130,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地, 
107,1,131,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,绿地与广场用地
108,1,133,0,公共管理与公共服务设施用地,居住用地, 
109,1,134,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,居住用地
110,1,135,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,商业服务业设施用地
111,1,136,0,公共管理与公共服务设施用地,工业用地,公共管理与公共服务设施用地
112,1,137,0,公共管理与公共服务设施用地,工业用地,公共管理与公共服务设施用地
113,1,138,0,公共管理与公共服务设施用地,居住用地,工业用地
114,1,139,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,居住用地
115,1,140,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,居住用地
116,1,141,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,商业服务业设施用地
117,1,142,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,工业用地
118,1,143,0,公共管理与公共服务设施用地,工业用地,商业服务业设施用地
119,1,144,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,居住用地
120,1,145,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,工业用地
121,1,146,0,公共管理与公共服务设施用地,绿地与广场用地,道路与交通设施用地
122,1,147,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地, 
123,1,148,0,公共管理与公共服务设施用地,公共管理与公共服务设施用地,工业用地
124,1,150,0,道路与交通设施用地,居住用地,商业服务业设施用地
125,1,151,0,道路与交通设施用地,居住用地,公共管理与公共服务设施用地
126,1,152,0,道路与交通设施用地,道路与交通设施用地, 
127,1,153,0,道路与交通设施用地,道路与交通设施用地, 
128,1,154,0,道路与交通设施用地,道路与交通设施用地, 
129,1,155,0,道路与交通设施用地,道路与交通设施用地, 
130,1,156,0,道路与交通设施用地,道路与交通设施用地, 
131,1,157,0,道路与交通设施用地,道路与交通设施用地,商业服务业设施用地
132,1,158,0,道路与交通设施用地,居住用地, 
133,1,159,0,道路与交通设施用地,道路与交通设施用地, 
