poiid,title,address,lon,lat,city,category_sec,DaLei,Power
B2094656D368A0FE4992,石家庄市驼梁宾馆,合河口乡前大地村,113.80539,38.72702,0311,公园户外,绿地与广场用地,60
B2094656D365A1FE4292,游客之家,,113.80464,38.72509,0311,公园户外,绿地与广场用地,60
B2094656D365A3FA499F,银兴驼梁假日酒店,,113.80466,38.72572,0311,公园户外,绿地与广场用地,60
B2094751D36BAAF9419A,驼梁山自然风景区,石家庄平山县,113.805344,38.725227,0311,一般景点,绿地与广场用地,50
B2094455DA65A3F44393,最初的梦想,河北省 石家庄市 心的一站,113.81966,38.68355,0311,生活娱乐,商业服务业设施用地,4
B2094457D06CA3FB4893,平山县,河北省 石家庄市 1号,113.79404,38.73038,0311,出行住宿,商业服务业设施用地,4
B2094457D168ABF5439F,驼梁福源宾馆,河北省 石家庄市 驼梁,113.81172,38.72237,0311,出行住宿,商业服务业设施用地,4
B2094450D66BA7FB499E,参与,河北省 石家庄市 驼粱,113.80507,38.71882,0311,生活娱乐,商业服务业设施用地,4
B2094656D365A4FC469D,农家饭店(驼梁西南),,113.80448,38.72477,0311,中餐厅,商业服务业设施用地,2
B2094656D365A0FE459E,清秀山庄,,113.804,38.72393,0311,中餐厅,商业服务业设施用地,2
B2094656D364AAFA4198,驼梁人家,,113.80432,38.72454,0311,中餐厅,商业服务业设施用地,2
B2094656D365A4FE459F,西北宾馆,,114.29785,38.70378,0311,公园户外,绿地与广场用地,60
B2094455DA64A6F9429A,我家,河北省 石家庄市 河北，石市，行唐,114.30803,38.68822,0311,一般地点标志,未知,0
B2094656D06CA3FE449E,漫山桥,,113.88252,38.69138,0311,公园户外,绿地与广场用地,60
B2094751DB6FA0FC479B,五岳寨喜客之家,近郊灵寿县五岳寨景区内,113.84684,38.70802,0311,河北菜,商业服务业设施用地,2
B2094454D16CA1FD4093,漂流,河北省 石家庄市 平山驼梁苍鹭峰漂流景区,113.836608,38.68399,0311,生活娱乐,商业服务业设施用地,4
B2094454D169A3FE479F,城墙湾漂流,河北省 石家庄市 石家庄市灵寿县城墙湾漂流,113.90458,38.68053,0311,公园户外,绿地与广场用地,60
B2094457D16AA7F5439A,五岳溪谷会所,河北省 石家庄市 灵寿县五岳寨风景区,113.90468,38.68034,0311,一般地点标志,未知,0
B209475CD36EA7F94898,热河会馆,河北饭店附近,113.54963,38.71673,0311,中餐厅,商业服务业设施用地,2
B2094455DA65A7FD419F,世外桃源,河北省 石家庄市 伟伟心里,114.54565,38.56584,0311,生活娱乐,商业服务业设施用地,4
