序号,原始类别,大类,影响度
1,收费站,道路与交通设施用地,20
2,加油站,道路与交通设施用地,20
3,火车站,道路与交通设施用地,85
4,公交车站,道路与交通设施用地,20
5,长途汽车站,道路与交通设施用地,50
6,飞机场,道路与交通设施用地,90
7,公司,工业用地,40
8,工农贸易类公司,工业用地,40
9,电子商务公司,工业用地,40
10,IT类公司,工业用地,40
11,机构及其他类公司,工业用地,40
12,家居装饰类公司,工业用地,40
13,汽车交通类公司,工业用地,40
14,化妆卫浴用品类公司,工业用地,40
15,消费电子类公司,工业用地,40
16,金融服务类公司,工业用地,50
17,房地产类公司,工业用地,50
18,工厂,工业用地,60
19,服装服饰类公司,工业用地,40
20,通讯及服务类公司,工业用地,40
21,产业园区,工业用地,60
22,知名企业,工业用地,60
23,商务服务类公司,工业用地,40
24,教育出国类公司,工业用地,40
25,文化体育类公司,工业用地,40
26,医疗健康类公司,工业用地,50
27,食品饮料类公司,工业用地,40
28,校园生活,公共管理与公共服务设施用地,50
29,小学,公共管理与公共服务设施用地,50
30,医院,公共管理与公共服务设施用地,90
31,中学,公共管理与公共服务设施用地,60
32,诊所,公共管理与公共服务设施用地,40
33,幼儿园,公共管理与公共服务设施用地,40
34,寺庙道观,公共管理与公共服务设施用地,70
35,会展中心,公共管理与公共服务设施用地,60
36,社区服务,公共管理与公共服务设施用地,30
37,文化宫,公共管理与公共服务设施用地,50
38,丧葬,公共管理与公共服务设施用地,20
39,邮局,公共管理与公共服务设施用地,30
40,高校中心点,公共管理与公共服务设施用地,80
41,图书馆,公共管理与公共服务设施用地,60
42,综合体育馆,公共管理与公共服务设施用地,60
43,政府机构,公共管理与公共服务设施用地,100
44,法院,公共管理与公共服务设施用地,100
45,成人教育,公共管理与公共服务设施用地,20
46,科研机构,公共管理与公共服务设施用地,70
47,培训机构,公共管理与公共服务设施用地,10
48,文艺团体,公共管理与公共服务设施用地,30
49,职业技术学校中心点,公共管理与公共服务设施用地,60
50,职业技术学校,公共管理与公共服务设施用地,60
51,高等院校,公共管理与公共服务设施用地,80
52,纪念馆,公共管理与公共服务设施用地,50
53,展览馆,公共管理与公共服务设施用地,50
54,博物馆,公共管理与公共服务设施用地,70
55,世界遗产,公共管理与公共服务设施用地,90
56,回教寺,公共管理与公共服务设施用地,40
57,驾校,公共管理与公共服务设施用地,30
58,警察局,公共管理与公共服务设施用地,70
59,剧场,公共管理与公共服务设施用地,50
60,电视台,公共管理与公共服务设施用地,70
61,报社,公共管理与公共服务设施用地,50
62,税务,公共管理与公共服务设施用地,60
