序号,原始类别,大类,影响度
1,餐饮美食,商业服务业设施用地,2
2,公园户外,绿地与广场用地,60
3,一般景点,绿地与广场用地,50
4,生活娱乐,商业服务业设施用地,4
5,出行住宿,商业服务业设施用地,4
6,中餐厅,商业服务业设施用地,2
7,一般地点标志,未知,0
8,河北菜,商业服务业设施用地,2
9,校园生活,公共管理与公共服务设施用地,50
10,小学,公共管理与公共服务设施用地,50
11,公司,工业用地,40
12,收费站,道路与交通设施用地,20
13,住宅区,居住用地,70
14,电影院,商业服务业设施用地,20
15,未知分类,未知,0
16,电讯营业厅,商业服务业设施用地,10
17,医院,公共管理与公共服务设施用地,90
18,楼宇机构,商业服务业设施用地,30
19,中学,公共管理与公共服务设施用地,60
20,加油站,道路与交通设施用地,20
21,银行,商业服务业设施用地,40
22,火车站,道路与交通设施用地,85
23,度假疗养场所,商业服务业设施用地,40
24,四川菜,商业服务业设施用地,2
25,购物服务,商业服务业设施用地,20
26,公交车站,道路与交通设施用地,20
27,美容美发店,商业服务业设施用地,2
28,便民商店/便利店,商业服务业设施用地,2
29,诊所,公共管理与公共服务设施用地,40
30,甜品店,商业服务业设施用地,2
31,幼儿园,公共管理与公共服务设施用地,40
32,寺庙道观,公共管理与公共服务设施用地,70
33,快餐厅,商业服务业设施用地,2
34,火锅店,商业服务业设施用地,2
35,商场,商业服务业设施用地,70
36,国家级景点,绿地与广场用地,80
37,其他,未知,0
38,烧烤,商业服务业设施用地,2
39,特色／地方风味餐厅,商业服务业设施用地,2
40,旅馆招待所,商业服务业设施用地,30
41,家电电子卖场,商业服务业设施用地,30
42,工农贸易类公司,工业用地,40
43,会展中心,公共管理与公共服务设施用地,60
44,电子商务公司,工业用地,40
45,日本料理,商业服务业设施用地,2
46,休闲餐饮场所,商业服务业设施用地,2
47,照相馆,商业服务业设施用地,2
48,社区服务,公共管理与公共服务设施用地,30
49,IT类公司,工业用地,40
50,机构及其他类公司,工业用地,40
51,家居装饰类公司,工业用地,40
52,汽车交通类公司,工业用地,40
53,化妆卫浴用品类公司,工业用地,40
54,消费电子类公司,工业用地,40
55,金融服务类公司,工业用地,50
56,房地产类公司,工业用地,50
57,家具建材市场,商业服务业设施用地,60
58,自行车专卖店,商业服务业设施用地,5
59,珠宝首饰工艺品,商业服务业设施用地,5
60,服装鞋帽皮具店,商业服务业设施用地,5
61,文化宫,公共管理与公共服务设施用地,50
62,网吧,商业服务业设施用地,5
63,钟表店,商业服务业设施用地,2
64,专卖店,商业服务业设施用地,6
65,糕饼店,商业服务业设施用地,2
66,体育用品店,商业服务业设施用地,4
67,书店,商业服务业设施用地,6
68,超级市场,商业服务业设施用地,40
69,烟酒专卖店,商业服务业设施用地,5
70,汽车维修,商业服务业设施用地,10
71,礼品饰品店,商业服务业设施用地,5
72,文化用品店,商业服务业设施用地,5
73,音像店,商业服务业设施用地,5
74,丧葬,公共管理与公共服务设施用地,20
75,小商品市场,商业服务业设施用地,20
76,冷饮店,商业服务业设施用地,2
77,公园,绿地与广场用地,70
78,邮局,公共管理与公共服务设施用地,30
79,休闲场所,商业服务业设施用地,4
80,高校中心点,公共管理与公共服务设施用地,80
81,眼镜店,商业服务业设施用地,5
82,经济型连锁酒店,商业服务业设施用地,30
83,ATM,商业服务业设施用地,5
84,综合酒楼,商业服务业设施用地,20
85,图书馆,公共管理与公共服务设施用地,60
86,茶艺馆,商业服务业设施用地,2
87,长途汽车站,道路与交通设施用地,50
88,综合体育馆,公共管理与公共服务设施用地,60
89,楼宇,商业服务业设施用地,30
90,律师事务所,商业服务业设施用地,20
91,政府机构,公共管理与公共服务设施用地,100
92,法院,公共管理与公共服务设施用地,100
93,成人教育,公共管理与公共服务设施用地,20
94,清真餐馆,商业服务业设施用地,2
95,科研机构,公共管理与公共服务设施用地,70
96,个人用品/化妆品店,商业服务业设施用地,5
97,工厂,工业用地,60
98,洗浴推拿场所,商业服务业设施用地,10
99,公园景点售票处,绿地与广场用地,30
100,滑雪场,绿地与广场用地,80
101,广东菜,商业服务业设施用地,2
102,五星级宾馆,商业服务业设施用地,50
103,汽车销售,商业服务业设施用地,30
104,服装服饰类公司,工业用地,40
105,公园广场,绿地与广场用地,70
106,培训机构,公共管理与公共服务设施用地,10
107,干洗店,商业服务业设施用地,5
108,飞机场,道路与交通设施用地,90
109,文艺团体,公共管理与公共服务设施用地,30
110,通讯及服务类公司,工业用地,40
111,三星级宾馆,商业服务业设施用地,40
112,四星级宾馆,商业服务业设施用地,45
113,省级景点,绿地与广场用地,60
114,东北菜,商业服务业设施用地,2
115,海鲜酒楼,商业服务业设施用地,20
116,北京菜,商业服务业设施用地,2
117,韩国料理,商业服务业设施用地,2
118,KTV,商业服务业设施用地,20
119,健身中心,商业服务业设施用地,20
120,咖啡厅,商业服务业设施用地,2
121,产业园区,工业用地,60
122,自助,商业服务业设施用地,2
123,职业技术学校中心点,公共管理与公共服务设施用地,60
124,儿童用品店,商业服务业设施用地,5
125,职业技术学校,公共管理与公共服务设施用地,60
126,高等院校,公共管理与公共服务设施用地,80
127,湖南菜,商业服务业设施用地,2
128,纪念馆,公共管理与公共服务设施用地,50
129,展览馆,公共管理与公共服务设施用地,50
130,博物馆,公共管理与公共服务设施用地,70
131,世界遗产,公共管理与公共服务设施用地,90
132,回教寺,公共管理与公共服务设施用地,40
133,夜店,商业服务业设施用地,20
134,城市广场,绿地与广场用地,60
135,驾校,公共管理与公共服务设施用地,30
136,西餐厅,商业服务业设施用地,2
137,二手车交易,商业服务业设施用地,20
138,知名企业,工业用地,60
139,警察局,公共管理与公共服务设施用地,70
140,剧场,公共管理与公共服务设施用地,50
141,洗车场,商业服务业设施用地,5
142,电视台,公共管理与公共服务设施用地,70
143,旧货市场,商业服务业设施用地,10
144,药店,商业服务业设施用地,20
145,游戏厅,商业服务业设施用地,10
146,报社,公共管理与公共服务设施用地,50
147,酒吧,商业服务业设施用地,20
148,巴西菜,商业服务业设施用地,2
149,税务,公共管理与公共服务设施用地,60
150,汽车租赁,商业服务业设施用地,20
151,迪厅,商业服务业设施用地,20
152,台球厅,商业服务业设施用地,10
153,动物园,公共管理与公共服务设施用地,70
154,教堂,公共管理与公共服务设施用地,40
155,学校大门,公共管理与公共服务设施用地,30
156,商务服务类公司,工业用地,40
157,古玩字画店,商业服务业设施用地,5
158,游乐场,商业服务业设施用地,30
159,垂钓园,绿地与广场用地,40
160,教育出国类公司,工业用地,40
161,文化体育类公司,工业用地,40
162,医疗健康类公司,工业用地,50
163,敬老院,公共管理与公共服务设施用地,50
164,食品饮料类公司,工业用地,40
165,运动场所,公共管理与公共服务设施用地,50
166,网球场,公共管理与公共服务设施用地,30
167,摄影器材店,商业服务业设施用地,5
168,消防,公共管理与公共服务设施用地,70
169,电台,公共管理与公共服务设施用地,50
170,老字号,商业服务业设施用地,20
171,特色商业街,商业服务业设施用地,40
172,大门,未知,0
173,楼宇大门,未知,0
174,美术馆,公共管理与公共服务设施用地,60
175,游泳馆,公共管理与公共服务设施用地,50
176,高尔夫相关,商业服务业设施用地,40
177,浙江菜,商业服务业设施用地,2
178,三甲医院,公共管理与公共服务设施用地,80
179,出版社,公共管理与公共服务设施用地,50
180,4S店,商业服务业设施用地,30
181,宠物用品店,商业服务业设施用地,5
182,跆拳道场馆,商业服务业设施用地,10
